TOPIC,TAXONOMY,CLASSIFICATION,GROUP,SUBGROUP,TIME_PERIOD,ESTIMATE,ESTIMATE_LCI,ESTIMATE_UCI,Barrier_Type
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,50-64 years,2024,8.5,7.7,9.4,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,65 years and older,2024,3.9,3.4,4.4,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,18-44 years,2024,10.0,9.2,10.8,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,45-64 years,2024,8.9,8.1,9.7,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,65-74 years,2024,5.0,4.3,5.7,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,75 years and older,2024,2.5,2.0,3.2,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Disability status,With disability,2024,13.5,12.0,15.1,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Disability status,Without disability,2024,7.0,6.6,7.4,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,2024,10.6,9.9,11.3,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,2024,4.6,4.1,5.1,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Marital status,Married,2024,6.7,6.1,7.3,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Marital status,Divorced or separated,2024,10.6,9.4,12.0,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Marital status,Widowed,2024,5.3,4.3,6.5,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Marital status,Living with a partner,2024,10.4,8.7,12.4,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Marital status,Never married,2024,9.0,7.9,10.2,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Nativity,U.S.-born,2024,8.0,7.5,8.4,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Nativity,Foreign-born,2024,6.6,5.6,7.7,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Race,American Indian and Alaska Native only,2024,8.3,4.5,13.8,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Race,Asian only,2024,4.4,3.1,6.1,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Race,Black only,2024,10.2,8.8,11.8,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Race,Native Hawaiian or Other Pacific Islander only,2024,19.1,9.4,32.6,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Race,White only,2024,7.5,7.0,8.0,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Race,American Indian and Alaska Native and White,2024,6.2,3.2,10.6,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Race,Black and White,2024,18.6,10.4,29.5,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",2024,8.5,7.4,9.8,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",2024,9.1,7.5,10.9,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",2024,7.7,7.2,8.1,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",2024,10.0,8.6,11.5,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",2024,7.4,6.9,7.9,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"Other races, non-Hispanic",2024,6.8,5.5,8.4,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Sex,Female,2024,8.9,8.4,9.6,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Sex,Male,2024,6.3,5.8,6.9,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Sexual orientation,Bisexual,2024,19.7,15.9,24.1,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Sexual orientation,Gay or Lesbian,2024,8.9,5.9,12.6,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Sexual orientation,Straight,2024,7.1,6.7,7.6,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Veteran status,Veteran,2024,4.3,3.4,5.4,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Demographic Characteristic,Veteran status,Non-veteran,2024,8.1,7.6,8.5,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Geographic Characteristic,Metropolitan statistical area,Large MSA,2024,7.1,6.6,7.7,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Geographic Characteristic,Metropolitan statistical area,Small MSA,2024,8.7,7.9,9.5,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Geographic Characteristic,Metropolitan statistical area,Non-MSA,2024,8.3,7.3,9.4,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Geographic Characteristic,Region,Northeast,2024,5.6,4.8,6.5,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Geographic Characteristic,Region,Midwest,2024,7.4,6.6,8.4,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Geographic Characteristic,Region,South,2024,9.3,8.5,10.0,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Geographic Characteristic,Region,West,2024,7.3,6.5,8.1,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,2024,5.7,4.8,6.6,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Geographic Characteristic,Social vulnerability,Low social vulnerability,2024,7.0,6.1,7.9,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Geographic Characteristic,Social vulnerability,Medium social vulnerability,2024,8.2,7.4,9.0,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Geographic Characteristic,Social vulnerability,High social vulnerability,2024,9.1,8.3,9.9,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Geographic Characteristic,Urbanicity,Large central metro,2024,7.5,6.7,8.3,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Geographic Characteristic,Urbanicity,Large fringe metro,2024,6.8,6.0,7.7,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Geographic Characteristic,Urbanicity,Medium and small metro,2024,8.5,7.8,9.4,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Geographic Characteristic,Urbanicity,Nonmetropolitan,2024,8.5,7.5,9.6,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Education,No high school diploma or GED,2024,9.1,7.5,11.0,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Education,High school diploma or GED,2024,8.1,7.2,9.1,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Education,Some college,2024,9.3,8.5,10.3,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Education,College degree or higher,2024,6.1,5.5,6.7,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed,2024,8.6,8.0,9.2,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed - Full-time,2024,8.6,7.9,9.3,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed - Part-time,2024,8.7,7.4,10.2,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed,2024,6.5,5.9,7.2,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,2024,6.8,6.2,7.4,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,2024,1.9,0.6,4.3,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,2024,3.8,3.0,4.7,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,2024,3.6,2.3,5.2,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,2024,4.3,3.5,5.2,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2024,4.4,3.0,6.3,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,2024,1.4,0.7,2.6,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,2024,8.0,7.4,8.6,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2024,8.8,7.5,10.3,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,2024,10.3,8.1,12.9,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,2024,25.8,22.5,29.4,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,<100% FPL,2024,11.7,9.9,13.7,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,2024,11.2,10.0,12.6,Skipped Medication
Did not take medication as prescribed to save money,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,≥200% FPL,2024,6.5,6.1,7.0,Skipped Medication
