TOPIC,TAXONOMY,CLASSIFICATION,GROUP,SUBGROUP,TIME_PERIOD,ESTIMATE,ESTIMATE_LCI,ESTIMATE_UCI,Barrier_Type
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,45-64 years,2024,10.0,9.3,10.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,65-74 years,2019,4.1,3.4,4.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,65-74 years,2020,3.2,2.7,3.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,65-74 years,2021,3.0,2.4,3.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,65-74 years,2022,3.6,2.9,4.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,65-74 years,2023,3.3,2.8,3.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,65-74 years,2024,3.4,2.9,4.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,75 years and older,2019,2.5,1.9,3.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,75 years and older,2020,1.9,1.3,2.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,75 years and older,2021,1.7,1.2,2.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,75 years and older,2022,1.5,1.0,2.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,75 years and older,2023,1.3,0.9,1.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,75 years and older,2024,1.6,1.2,2.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Disability status,With disability,2019,15.1,13.6,16.8,Delayed Care
