Year,Barrier_Type,Demographic_Group,Highest_Subgroup,Highest_Rate,Lowest_Subgroup,Lowest_Rate,Disparity_Gap
2019,No mental health care due to cost,Social vulnerability,Low social vulnerability,4.7,Little to no social vulnerability,3.8,0.9000000000000004
2019,No mental health care due to cost,Urbanicity,Large central metro,5.2,Large fringe metro,3.6,1.6
2019,No mental health care due to cost,Education,Some college,5.2,No high school diploma or GED,3.1,2.1
2019,No mental health care due to cost,Employment status,Employed - Part-time,5.7,Not employed - Has never worked,1.9,3.8000000000000003
2019,No mental health care due to cost,Health insurance coverage: 65 years and older,Medicare and Medicaid,2.0,Other government coverage,0.2,1.8
2019,No mental health care due to cost,Health insurance coverage: Younger than 65 years,Uninsured,10.0,Private,3.9,6.1
2019,No mental health care due to cost,Poverty level,100% to <200% FPL,6.5,≥200% FPL,3.5,3.0
2019,Skipped medication as prescribed to save money,Age groups with 65 years and older,35-49 years,13.3,65 years and older,5.3,8.0
2019,Skipped medication as prescribed to save money,Age groups with 75 years and older,18-44 years,11.7,75 years and older,3.7,7.999999999999999
2019,Skipped medication as prescribed to save money,Disability status,With disability,16.3,Without disability,8.7,7.600000000000001
2019,Skipped medication as prescribed to save money,Functioning difficulties status,With functioning difficulties,12.6,Without functioning difficulties,6.7,5.8999999999999995
2019,Skipped medication as prescribed to save money,Marital status,Divorced or separated,15.1,Widowed,6.0,9.1
2019,Skipped medication as prescribed to save money,Nativity,U.S.-born,9.7,Foreign-born,8.9,0.7999999999999989
2019,Skipped medication as prescribed to save money,Race,American Indian and Alaska Native and White,19.3,Asian only,5.1,14.200000000000001
2019,Skipped medication as prescribed to save money,Race and Hispanic origin,"Black only, non-Hispanic",13.2,"Other races, non-Hispanic",7.5,5.699999999999999
2019,Skipped medication as prescribed to save money,Sex,Female,10.9,Male,7.9,3.0
2019,Skipped medication as prescribed to save money,Sexual orientation,Bisexual,21.2,Gay or Lesbian,6.9,14.299999999999999
2019,Skipped medication as prescribed to save money,Veteran status,Non-veteran,10.0,Veteran,5.7,4.3
2019,Skipped medication as prescribed to save money,Metropolitan statistical area,Non-MSA,11.0,Large MSA,8.8,2.1999999999999993
2019,Skipped medication as prescribed to save money,Region,South,11.6,Northeast,6.5,5.1
2019,Skipped medication as prescribed to save money,Social vulnerability,High social vulnerability,10.5,Little to no social vulnerability,7.2,3.3
2019,Skipped medication as prescribed to save money,Urbanicity,Nonmetropolitan,11.0,Large fringe metro,8.6,2.4000000000000004
2019,Skipped medication as prescribed to save money,Education,No high school diploma or GED,11.8,College degree or higher,6.7,5.1000000000000005
2019,Skipped medication as prescribed to save money,Employment status,Employed - Part-time,10.7,Not employed - Has never worked,2.9,7.799999999999999
2019,Skipped medication as prescribed to save money,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,7.5,Other government coverage,2.1,5.4
2019,Skipped medication as prescribed to save money,Health insurance coverage: Younger than 65 years,Uninsured,29.0,Private,8.5,20.5
2019,Skipped medication as prescribed to save money,Poverty level,100% to <200% FPL,16.1,≥200% FPL,7.1,9.000000000000002
2020,Delayed getting medical care due to cost,Age groups with 65 years and older,18-34 years,9.1,65 years and older,2.7,6.3999999999999995
2020,Delayed getting medical care due to cost,Age groups with 75 years and older,18-44 years,9.1,75 years and older,1.9,7.199999999999999
2020,Delayed getting medical care due to cost,Disability status,With disability,13.1,Without disability,7.0,6.1
2020,Delayed getting medical care due to cost,Functioning difficulties status,With functioning difficulties,10.7,Without functioning difficulties,5.3,5.3999999999999995
2020,Delayed getting medical care due to cost,Marital status,Living with a partner,13.6,Widowed,4.6,9.0
2020,Delayed getting medical care due to cost,Nativity,Foreign-born,8.3,U.S.-born,7.3,1.0000000000000009
2020,Delayed getting medical care due to cost,Race,Black only,8.3,Asian only,3.5,4.800000000000001
2020,Delayed getting medical care due to cost,Race and Hispanic origin,"All races, Hispanic, Mexican",10.9,"Other races, non-Hispanic",4.4,6.5
2020,Delayed getting medical care due to cost,Sex,Female,8.7,Male,6.3,2.3999999999999995
2020,Delayed getting medical care due to cost,Sexual orientation,Bisexual,19.0,Straight,7.1,11.9
2020,Delayed getting medical care due to cost,Veteran status,Non-veteran,7.8,Veteran,4.5,3.3
2020,Delayed getting medical care due to cost,Metropolitan statistical area,Small MSA,8.2,Large MSA,7.0,1.1999999999999993
2020,Delayed getting medical care due to cost,Region,South,9.0,Northeast,5.4,3.5999999999999996
2020,Delayed getting medical care due to cost,Social vulnerability,Medium social vulnerability,8.2,Little to no social vulnerability,6.6,1.5999999999999996
2020,Delayed getting medical care due to cost,Urbanicity,Medium and small metro,8.2,Large fringe metro,6.7,1.4999999999999991
2020,Delayed getting medical care due to cost,Education,No high school diploma or GED,11.8,College degree or higher,4.8,7.000000000000001
2020,Delayed getting medical care due to cost,Employment status,Employed - Part-time,9.3,Not employed - Has worked previously,7.0,2.3000000000000007
